,Date,Year,Month,Day,lookup,Day of Week,Category,Aircraft Type,# of Aircraft,Location,Tail Numbers,Night,Notes,Source,Map
0,9/9/2020,2020,9,9,4,Wednesday,*Unspecified,*Unspecified,10,unk,,,"unspecified mix of SU-30 and J-10, 21 total violations from 9/9 - 9/10, unknown how many per day, approximated based on total",https://www.mnd.gov.tw/English/Publish.aspx?title=News%20Channel&SelectStyle=Defense%20News%20&p=77571 and https://focustaiwan.tw/politics/202009100024  ,
1,9/10/2020,2020,9,10,5,Thursday,*Unspecified,*Unspecified,11,unk,,,"unspecified mix of SU-30 and Y-8, 21 total violations from 9/9 - 9/10, unknown how many per day, approximated based on total",https://www.mnd.gov.tw/English/Publish.aspx?title=News%20Channel&SelectStyle=Defense%20News%20&p=77574  and https://focustaiwan.tw/politics/202009100024 ,
2,9/16/2020,2020,9,16,4,Wednesday,ASW,Y-8 ASW,2,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77345&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
3,9/18/2020,2020,9,18,6,Friday,Bomber,H-6,2,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77350&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
4,9/18/2020,2020,9,18,6,Friday,Fighter,J-16,4,Southwest ADIZ,,,assumed equal split of total sorties for southwest and median line,https://www.mnd.gov.tw/Publish.aspx?p=77350&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
5,9/18/2020,2020,9,18,6,Friday,Fighter,J-16,4,Median line,,,assumed equal split of total sorties for southwest and median line,https://www.mnd.gov.tw/Publish.aspx?p=77350&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
6,9/18/2020,2020,9,18,6,Friday,Fighter,J-10,4,Median line,,,,https://www.mnd.gov.tw/Publish.aspx?p=77350&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
7,9/18/2020,2020,9,18,6,Friday,Fighter,J-11,4,Median line,,,,https://www.mnd.gov.tw/Publish.aspx?p=77350&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
8,9/19/2020,2020,9,19,7,Saturday,Fighter,J-16,6,Southwest ADIZ,,,assumed equal split of total sorties for southwest and median line,https://www.mnd.gov.tw/Publish.aspx?p=77351&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
9,9/19/2020,2020,9,19,7,Saturday,Fighter,J-16,6,Median line,,,assumed equal split of total sorties for southwest and median line,https://www.mnd.gov.tw/Publish.aspx?p=77351&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
10,9/19/2020,2020,9,19,7,Saturday,Fighter,J-10,2,Median line,,,,https://www.mnd.gov.tw/Publish.aspx?p=77351&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
11,9/19/2020,2020,9,19,7,Saturday,Fighter,J-11,2,Median line,,,,https://www.mnd.gov.tw/Publish.aspx?p=77351&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
12,9/19/2020,2020,9,19,7,Saturday,Bomber,H-6,2,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77351&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
13,9/19/2020,2020,9,19,7,Saturday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77351&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
14,9/21/2020,2020,9,21,2,Monday,ASW,Y-8 ASW,2,Southwest ADIZ,,,"PRC MFA Spokesperson: ""The Taiwan region is an inalienable part of China's territory. The so-called 'median line' is non-existent."" https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1816753.shtml ",https://www.mnd.gov.tw/Publish.aspx?p=77356&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
15,9/22/2020,2020,9,22,3,Tuesday,ASW,Y-8 ASW,2,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77360&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
16,9/23/2020,2020,9,23,4,Wednesday,ASW,Y-8 ASW,2,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77362&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
17,9/24/2020,2020,9,24,5,Thursday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77363&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
18,9/29/2020,2020,9,29,3,Tuesday,ASW,Y-8 ASW,2,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77393&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
19,10/1/2020,2020,10,1,5,Thursday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77401&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
20,10/3/2020,2020,10,3,7,Saturday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77428&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
21,10/4/2020,2020,10,4,1,Sunday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77436&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
22,10/6/2020,2020,10,6,3,Tuesday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77441&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
23,10/7/2020,2020,10,7,4,Wednesday,AEW&C,KJ-500,1,Southwest ADIZ,,,"Came from the south, instead of PRC mainland",https://www.mnd.gov.tw/Publish.aspx?p=77443&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
24,10/8/2020,2020,10,8,5,Thursday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77445&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
25,10/9/2020,2020,10,9,6,Friday,Transport,Y-8,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77447&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
26,10/9/2020,2020,10,9,6,Friday,EW,Y-9 EW,1,Southwest ADIZ,,,"identified in MND report as ""Y-9"", identified as Y-9EW via tail number. I thank Eli Kravinsky for helping determine this",https://www.mnd.gov.tw/Publish.aspx?p=77447&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
27,10/10/2020,2020,10,10,7,Saturday,ASW,Y-8 ASW,1,Southwest ADIZ,,,,https://www.mnd.gov.tw/Publish.aspx?p=77448&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b,
