IGN,Boss,Damage,Date
nickknack,Living Abyss,314136413,2023-07-13
nickknack,Red Velvet Dragon,382651586,2023-07-13
valertine,Living Abyss,246340361,2023-07-13
valertine,Red Velvet Dragon,313649929,2023-07-13
RougeAether,Living Abyss,267777283,2023-07-13
RougeAether,Red Velvet Dragon,246397644,2023-07-13
JJJuicy,Living Abyss,263730952,2023-07-13
JJJuicy,Red Velvet Dragon,272058720,2023-07-13
hachi,Living Abyss,311758542,2023-07-13
hachi,Red Velvet Dragon,352638865,2023-07-13
r2miss,Living Abyss,301591756,2023-07-13
r2miss,Red Velvet Dragon,380257878,2023-07-13
r2miss,Avatar of Destiny,64616570,2023-07-13
mango,Living Abyss,284814594,2023-07-13
mango,Red Velvet Dragon,306207265,2023-07-13
Gingerdoodles,Living Abyss,279619546,2023-07-13
Gingerdoodles,Red Velvet Dragon,309152293,2023-07-13
